journal,random_state,n_neighbors,nr_topics,topics_count,outliers_count,silhouette_score
nejm,739758468,10,auto,48,4311,-0.5091202
nejm,1679337463,10,auto,212,4154,0.23856439
nejm,273221228,10,auto,234,3916,0.30662742
nejm,896577524,10,auto,251,4100,0.4214623
nejm,623600383,10,auto,222,4033,0.29530236
nejm,494586278,10,auto,252,3846,0.36611012
nejm,1550958446,10,auto,240,3940,0.35743985
nejm,283480251,10,auto,49,4173,-0.54106146
nejm,959617763,10,auto,53,4406,-0.5333353
nejm,599111466,10,auto,214,4063,0.24019969
nejm,621904333,10,auto,237,4024,0.3085541
nejm,1883895843,10,auto,236,4129,0.33785
nejm,736318379,10,auto,246,3953,0.3346579
nejm,1940632696,10,auto,224,4148,0.3157293
nejm,541955177,10,auto,214,4074,0.21084252
